year,class_id,class_name,count
1968,1,Water,1075
1968,3,Urban,485
1968,4,Agriculture,58685
1968,5,Forest,31653
1969,1,Water,1073
1969,3,Urban,496
1969,4,Agriculture,58591
1969,5,Forest,31738
1970,1,Water,1075
1970,3,Urban,502
1970,4,Agriculture,58433
1970,5,Forest,31888
1971,1,Water,1073
1971,3,Urban,517
1971,4,Agriculture,58309
1971,5,Forest,31999
1972,1,Water,1075
1972,3,Urban,526
1972,4,Agriculture,58138
1972,5,Forest,32159
1973,1,Water,1073
1973,3,Urban,540
1973,4,Agriculture,58024
1973,5,Forest,32261
1974,1,Water,1075
1974,3,Urban,548
1974,4,Agriculture,57832
1974,5,Forest,32443
1975,1,Water,1073
1975,3,Urban,560
1975,4,Agriculture,57729
1975,5,Forest,32536
1976,1,Water,1075
1976,3,Urban,566
1976,4,Agriculture,57543
1976,5,Forest,32714
1977,1,Water,1074
1977,3,Urban,578
1977,4,Agriculture,57433
1977,5,Forest,32813
1978,1,Water,1075
1978,3,Urban,589
1978,4,Agriculture,57069
1978,5,Forest,33165
1979,1,Water,1074
1979,3,Urban,605
1979,4,Agriculture,56774
1979,5,Forest,33445
1980,1,Water,1075
1980,3,Urban,620
1980,4,Agriculture,56406
1980,5,Forest,33797
1981,1,Water,1075
1981,3,Urban,639
1981,4,Agriculture,56112
1981,5,Forest,34072
1982,1,Water,1075
1982,3,Urban,659
1982,4,Agriculture,55727
1982,5,Forest,34437
1983,1,Water,1073
1983,3,Urban,676
1983,4,Agriculture,55428
1983,5,Forest,34721
1984,1,Water,1075
1984,3,Urban,695
1984,4,Agriculture,55030
1984,5,Forest,35098
1985,1,Water,1073
1985,3,Urban,715
1985,4,Agriculture,54689
1985,5,Forest,35421
1986,1,Water,1073
1986,3,Urban,736
1986,4,Agriculture,54300
1986,5,Forest,35789
1987,1,Water,1073
1987,3,Urban,759
1987,4,Agriculture,53925
1987,5,Forest,36141
1988,1,Water,1074
1988,3,Urban,783
1988,4,Agriculture,53510
1988,5,Forest,36531
1989,1,Water,1072
1989,3,Urban,807
1989,4,Agriculture,53171
1989,5,Forest,36848
1990,1,Water,1075
1990,3,Urban,832
1990,4,Agriculture,52812
1990,5,Forest,37179
1991,1,Water,1074
1991,3,Urban,860
1991,4,Agriculture,52263
1991,5,Forest,37701
1992,1,Water,1075
1992,3,Urban,888
1992,4,Agriculture,51643
1992,5,Forest,38292
1993,1,Water,1075
1993,3,Urban,919
1993,4,Agriculture,50734
1993,5,Forest,39170
1994,1,Water,1074
1994,3,Urban,941
1994,4,Agriculture,47376
1994,5,Forest,42507
1995,1,Water,1075
1995,3,Urban,973
1995,4,Agriculture,51750
1995,5,Forest,38100
1996,1,Water,1074
1996,3,Urban,991
1996,4,Agriculture,51765
1996,5,Forest,38068
1997,1,Water,1076
1997,3,Urban,1026
1997,4,Agriculture,51870
1997,5,Forest,37926
1998,1,Water,1074
1998,3,Urban,1059
1998,4,Agriculture,51984
1998,5,Forest,37781
1999,1,Water,1075
1999,3,Urban,1094
1999,4,Agriculture,53045
1999,5,Forest,36684
2000,1,Water,1074
2000,3,Urban,1132
2000,4,Agriculture,51829
2000,5,Forest,37863
2001,1,Water,1074
2001,3,Urban,1122
2001,4,Agriculture,41354
2001,5,Forest,48348
2002,1,Water,1072
2002,3,Urban,1157
2002,4,Agriculture,41278
2002,5,Forest,48391
2003,1,Water,1077
2003,3,Urban,1182
2003,4,Agriculture,36654
2003,5,Forest,52985
2004,1,Water,1072
2004,3,Urban,1218
2004,4,Agriculture,37690
2004,5,Forest,51918
2005,1,Water,1068
2005,3,Urban,1260
2005,4,Agriculture,41405
2005,5,Forest,48165
2006,1,Water,1068
2006,3,Urban,1287
2006,4,Agriculture,40739
2006,5,Forest,48804
