year,class_id,class_name,count
1956,3,Urban,434
1956,4,Agriculture,60225
1956,5,Forest,30175
1957,1,Water,1062
1957,2,Wetland,0
1957,3,Urban,440
1957,4,Agriculture,60148
1957,5,Forest,30247
1958,1,Water,1063
1958,2,Wetland,0
1958,3,Urban,439
1958,4,Agriculture,60017
1958,5,Forest,30378
1959,1,Water,1062
1959,2,Wetland,0
1959,3,Urban,445
1959,4,Agriculture,59936
1959,5,Forest,30454
1960,1,Water,1063
1960,2,Wetland,0
1960,3,Urban,444
1960,4,Agriculture,59746
1960,5,Forest,30644
1961,1,Water,1062
1961,2,Wetland,0
1961,3,Urban,450
1961,4,Agriculture,59639
1961,5,Forest,30746
1962,1,Water,1063
1962,2,Wetland,0
1962,3,Urban,454
1962,4,Agriculture,59487
1962,5,Forest,30893
1963,1,Water,1062
1963,2,Wetland,0
1963,3,Urban,458
1963,4,Agriculture,59397
1963,5,Forest,30980
1964,1,Water,1063
1964,2,Wetland,0
1964,3,Urban,459
1964,4,Agriculture,59232
1964,5,Forest,31143
1965,1,Water,1062
1965,2,Wetland,0
1965,3,Urban,464
1965,4,Agriculture,59137
1965,5,Forest,31233
1966,1,Water,1063
1966,2,Wetland,0
1966,3,Urban,468
1966,4,Agriculture,58980
1966,5,Forest,31385
1967,1,Water,1062
1967,2,Wetland,0
1967,3,Urban,476
1967,4,Agriculture,58854
1967,5,Forest,31504
1968,1,Water,1063
1968,2,Wetland,0
1968,3,Urban,485
1968,4,Agriculture,58683
1968,5,Forest,31665
1969,1,Water,1062
1969,2,Wetland,0
1969,3,Urban,496
1969,4,Agriculture,58589
1969,5,Forest,31749
1970,1,Water,1063
1970,2,Wetland,0
1970,3,Urban,502
1970,4,Agriculture,58431
1970,5,Forest,31900
1971,1,Water,1062
1971,2,Wetland,0
1971,3,Urban,518
1971,4,Agriculture,58308
1971,5,Forest,32008
1972,1,Water,1063
1972,2,Wetland,0
1972,3,Urban,527
1972,4,Agriculture,58137
1972,5,Forest,32169
1973,1,Water,1062
1973,2,Wetland,0
1973,3,Urban,541
1973,4,Agriculture,58024
1973,5,Forest,32269
1974,1,Water,1063
1974,2,Wetland,0
1974,3,Urban,549
1974,4,Agriculture,57832
1974,5,Forest,32452
1975,1,Water,1062
1975,2,Wetland,0
1975,3,Urban,561
1975,4,Agriculture,57730
1975,5,Forest,32543
1976,1,Water,1063
1976,2,Wetland,0
1976,3,Urban,567
1976,4,Agriculture,57543
1976,5,Forest,32723
1977,1,Water,1062
1977,2,Wetland,0
1977,3,Urban,579
1977,4,Agriculture,57434
1977,5,Forest,32821
1978,1,Water,1063
1978,2,Wetland,0
1978,3,Urban,590
1978,4,Agriculture,57069
1978,5,Forest,33174
1979,1,Water,1062
1979,2,Wetland,0
1979,3,Urban,606
1979,4,Agriculture,56775
1979,5,Forest,33453
1980,1,Water,1063
1980,2,Wetland,0
1980,3,Urban,621
1980,4,Agriculture,56406
1980,5,Forest,33806
1981,1,Water,1062
1981,2,Wetland,0
1981,3,Urban,640
1981,4,Agriculture,56113
1981,5,Forest,34081
1982,1,Water,1064
