year,basin_index,class_id,count
2017,0,0,91079607
2017,0,1,3622375
2017,0,2,490336
2017,0,3,3848448
2017,0,4,43341821
2017,0,5,39776627
2017,1,0,37777542
2017,1,1,592872
2017,1,2,47541
2017,1,3,713607
2017,1,4,10816167
2017,1,5,25607355
2017,2,0,47378407
2017,2,1,689292
2017,2,2,150192
2017,2,3,1697725
2017,2,4,32308365
2017,2,5,12532833
2017,3,0,726043
2017,3,1,34265
2017,3,3,12265
2017,3,4,330654
2017,3,5,348859
2017,4,0,42633203
2017,4,1,967779
2017,4,2,120292
2017,4,3,4475833
2017,4,4,12871027
2017,4,5,24198272
2017,5,0,18311254
2017,5,1,1682113
2017,5,2,185894
2017,5,3,486163
2017,5,4,6105408
2017,5,5,9851676
2017,6,0,27746396
2017,6,1,2056948
2017,6,2,59193
2017,6,3,558471
2017,6,4,4310540
2017,6,5,20761244
2017,7,0,29399614
2017,7,1,381528
2017,7,2,58516
2017,7,3,941792
2017,7,4,14179475
2017,7,5,13838303
2017,8,0,10944680
2017,8,1,152458
2017,8,2,88627
2017,8,3,1407033
2017,8,4,5020424
2017,8,5,4276138
2017,9,0,67888992
2017,9,1,2810869
2017,9,2,169305
2017,9,3,2002312
2017,9,4,27685374
2017,9,5,35221132
2017,10,0,51260425
2017,10,1,716129
2017,10,2,48005
2017,10,3,1645422
2017,10,4,28695722
2017,10,5,20155147
2017,11,0,19659059
2017,11,1,177299
2017,11,2,57266
2017,11,3,547691
2017,11,4,11089993
2017,11,5,7786810
2017,12,0,40050486
2017,12,1,378909
2017,12,2,30633
2017,12,3,1199489
2017,12,4,22349544
2017,12,5,16091911
2017,13,0,61404121
2017,13,1,481118
2017,13,2,80900
2017,13,3,2202112
2017,13,4,38836722
2017,13,5,19803269
2017,14,0,7374435
2017,14,1,46147
2017,14,2,412
2017,14,3,244081
2017,14,4,5447114
2017,14,5,1636681
2017,15,0,17434376
2017,15,1,45078
2017,15,2,136
2017,15,3,442594
2017,15,4,13747787
2017,15,5,3198781
