basin,river,station_code,station_name,hydro_metric,class,n_years,years_used,pearson_r,pearson_p,pearson_q,spearman_r,spearman_p,spearman_q
Dubysa,Dubysa,padubysio-vms,Padubysio VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.087,0.8613,0.986,0.286,0.5008,0.9913
Jūra,Jūra,taurages-vms,Tauragės VMS,discharge,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.349,0.415,0.6916,-0.238,0.5821,0.793
Jūra,Jūra,taurages-vms,Tauragės VMS,discharge,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,0.724,0.0563,0.254,0.476,0.2431,0.793
Jūra,Jūra,taurages-vms,Tauragės VMS,discharge,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.626,0.1016,0.254,-0.119,0.793,0.793
Jūra,Jūra,taurages-vms,Tauragės VMS,discharge,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,0.077,0.8606,0.8606,0.31,0.4618,0.793
Jūra,Jūra,taurages-vms,Tauragės VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,0.109,0.8104,0.8606,-0.143,0.752,0.793
Nevėžis,Nevėžis,babtu-vms,Babtų VMS,discharge,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,0.673,0.0606,0.1515,0.69,0.0694,0.2405
Nevėžis,Nevėžis,babtu-vms,Babtų VMS,discharge,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,0.832,0.0159,0.0794,0.643,0.0962,0.2405
Nevėžis,Nevėžis,babtu-vms,Babtų VMS,discharge,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.498,0.209,0.3483,-0.119,0.793,0.793
Nevėžis,Nevėžis,babtu-vms,Babtų VMS,discharge,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.228,0.5928,0.5928,-0.286,0.5008,0.626
Nevėžis,Nevėžis,babtu-vms,Babtų VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,0.226,0.5919,0.5928,0.286,0.5008,0.626
Lielupės mažieji intakai,Švėtė,zagares-vms,Žagarės VMS,discharge,Water,7,2017;2018;2019;2020;2021;2022;2023,0.487,0.2702,0.4504,0.464,0.3024,0.504
Lielupės mažieji intakai,Švėtė,zagares-vms,Žagarės VMS,discharge,Wetland,7,2017;2018;2019;2020;2021;2022;2023,0.258,0.6435,0.6435,0.321,0.4976,0.622
Lielupės mažieji intakai,Švėtė,zagares-vms,Žagarės VMS,discharge,Urban,7,2017;2018;2019;2020;2021;2022;2023,-0.216,0.6177,0.6435,-0.143,0.7825,0.7825
Lielupės mažieji intakai,Švėtė,zagares-vms,Žagarės VMS,discharge,Agriculture,7,2017;2018;2019;2020;2021;2022;2023,-0.846,0.0202,0.0947,-0.821,0.0341,0.1706
Lielupės mažieji intakai,Švėtė,zagares-vms,Žagarės VMS,discharge,Forest,7,2017;2018;2019;2020;2021;2022;2023,0.767,0.0379,0.0947,0.679,0.1095,0.2738
Lielupės mažieji intakai,Platonis,vaineikiu-vms,Vaineikių VMS,discharge,Water,7,2017;2018;2020;2021;2022;2023;2024,0.292,0.5192,0.5482,0.393,0.3956,0.6594
Lielupės mažieji intakai,Platonis,vaineikiu-vms,Vaineikių VMS,discharge,Wetland,7,2017;2018;2020;2021;2022;2023;2024,0.53,0.2363,0.3938,0.286,0.556,0.6949
Lielupės mažieji intakai,Platonis,vaineikiu-vms,Vaineikių VMS,discharge,Urban,7,2017;2018;2020;2021;2022;2023;2024,0.622,0.1325,0.3715,0.536,0.2357,0.5893
Lielupės mažieji intakai,Platonis,vaineikiu-vms,Vaineikių VMS,discharge,Agriculture,7,2017;2018;2020;2021;2022;2023;2024,-0.611,0.1486,0.3715,-0.607,0.1667,0.5893
Lielupės mažieji intakai,Platonis,vaineikiu-vms,Vaineikių VMS,discharge,Forest,7,2017;2018;2020;2021;2022;2023;2024,0.276,0.5482,0.5482,0.179,0.7131,0.7131
Mūša,Mūša,zilpamusio-vms,Žilpamūšio VMS,discharge,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,0.295,0.4771,0.5964,0.381,0.3599,0.4867
Mūša,Mūša,zilpamusio-vms,Žilpamūšio VMS,discharge,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,0.81,0.0156,0.078,0.69,0.0694,0.347
Mūša,Mūša,zilpamusio-vms,Žilpamūšio VMS,discharge,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.212,0.6182,0.6182,0.048,0.9349,0.9349
Mūša,Mūša,zilpamusio-vms,Žilpamūšio VMS,discharge,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.551,0.1561,0.3902,-0.357,0.3894,0.4867
Mūša,Mūša,zilpamusio-vms,Žilpamūšio VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,0.475,0.2411,0.4018,0.381,0.3599,0.4867
Mūša,Lėvuo,bernatoniu-levuo-vms,Bernatonių VMS,discharge,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,0.198,0.6452,0.6452,0.262,0.5364,0.6705
Mūša,Lėvuo,bernatoniu-levuo-vms,Bernatonių VMS,discharge,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,0.9,0.0017,0.0086,0.81,0.0218,0.1089
