year,basin_index,class_id,count
1910,0,0,10752
1910,0,1,217
1910,0,3,77
1910,0,4,8055
1910,0,5,2403
1910,1,0,4467
1910,1,1,37
1910,1,4,1915
1910,1,5,2515
1910,2,0,6278
1910,2,1,59
1910,2,3,8
1910,2,4,5525
1910,2,5,686
1910,3,0,84
1910,3,1,4
1910,3,3,1
1910,3,4,76
1910,3,5,3
1910,4,0,5055
1910,4,1,54
1910,4,3,126
1910,4,4,3343
1910,4,5,1532
1910,5,0,1922
1910,5,1,173
1910,5,3,2
1910,5,4,1323
1910,5,5,424
1910,6,0,3160
1910,6,1,122
1910,6,3,2
1910,6,4,1155
1910,6,5,1881
1910,7,0,3330
1910,7,1,23
1910,7,3,3
1910,7,4,2558
1910,7,5,746
1910,8,0,1267
1910,8,1,24
1910,8,3,45
1910,8,4,1101
1910,8,5,97
1910,9,0,8264
1910,9,1,160
1910,9,3,10
1910,9,4,6895
1910,9,5,1199
1910,10,0,6475
1910,10,1,43
1910,10,3,15
1910,10,4,5173
1910,10,5,1244
1910,11,0,2399
1910,11,4,2070
1910,11,5,329
1910,12,0,4842
1910,12,1,19
1910,12,3,9
1910,12,4,4046
1910,12,5,768
1910,13,0,8213
1910,13,1,6
1910,13,3,24
1910,13,4,7047
1910,13,5,1136
1910,14,0,1021
1910,14,3,1
1910,14,4,995
1910,14,5,25
1910,15,0,2461
1910,15,4,2314
1910,15,5,147
1910,16,0,475
1910,16,1,3
1910,16,3,1
1910,16,4,384
1910,16,5,87
1910,17,0,7203
1910,17,1,42
1910,17,3,29
1910,17,4,6330
1910,17,5,802
1910,18,0,2253
1910,18,1,5
1910,18,3,2
1910,18,4,1629
1910,18,5,617
1911,0,0,10761
1911,0,1,217
1911,0,3,74
1911,0,4,8062
1911,0,5,2408
1911,1,0,4477
1911,1,1,37
1911,1,4,1910
1911,1,5,2530
1911,2,0,6283
1911,2,1,59
1911,2,3,7
1911,2,4,5520
1911,2,5,697
1911,3,0,84
1911,3,1,4
1911,3,3,1
1911,3,4,76
1911,3,5,3
1911,4,0,5027
1911,4,1,54
1911,4,3,129
1911,4,4,3319
1911,4,5,1525
1911,5,0,1924
1911,5,1,173
1911,5,3,2
1911,5,4,1320
1911,5,5,429
1911,6,0,3153
1911,6,1,122
1911,6,3,2
1911,6,4,1142
1911,6,5,1887
1911,7,0,3336
1911,7,1,23
1911,7,3,3
1911,7,4,2551
1911,7,5,759
1911,8,0,1258
1911,8,1,24
1911,8,3,39
1911,8,4,1096
1911,8,5,99
1911,9,0,8279
1911,9,1,160
1911,9,3,10
1911,9,4,6903
1911,9,5,1206
1911,10,0,6462
1911,10,1,43
1911,10,3,15
1911,10,4,5159
1911,10,5,1245
1911,11,0,2407
1911,11,4,2077
1911,11,5,330
1911,12,0,4860
1911,12,1,19
1911,12,3,10
1911,12,4,4060
1911,12,5,771
1911,13,0,8216
1911,13,1,6
1911,13,3,33
1911,13,4,7039
1911,13,5,1138
1911,14,0,1026
1911,14,3,1
1911,14,4,1000
1911,14,5,25
1911,15,0,2464
1911,15,4,2314
1911,15,5,150
1911,16,0,471
1911,16,1,3
1911,16,3,1
1911,16,4,388
1911,16,5,79
1911,17,0,7216
1911,17,1,42
1911,17,3,28
1911,17,4,6336
1911,17,5,810
1911,18,0,2263
1911,18,1,5
1911,18,3,2
1911,18,4,1640
1911,18,5,616
1912,0,0,10785
